hash,filename,mergehordesat,mallobhc,mallob,slime,pmcompspsmpi,pmcomspscommpi,paracooba
000a41cdca43be89ed62ea3abf2d0b64,snw_13_9_pre.cnf.xz,28.61,144.05,6.33,37.67,13.81,18.11,45.81
0041051c73dcdd885d412a38e8b09fba,rphp4_065_shuffled.cnf.xz,94.91,60.22,11.34,timeout,84.76,77.23,memout
004b0f451f7d96f6a572e9e76360f51a,spg_420_280.cnf.xz,94.88,93.52,21.83,59.34,78.11,74.97,169.29
0107f34364dfff8ab062193b2c71b4de,sp4-33-bin-nons-flat-noid.cnf.xz,369.44,6.79,9.15,108.99,40.61,35.18,142.30
01135f7a79d555bd0406f00fac22cbe2,SC21_Timetable_C_140_E_29_Cl_10_S_15.cnf.xz,timeout,19.95,timeout,timeout,timeout,timeout,timeout
02223564bd2f5c20768e63cf28c785e3,mp1-squ_ali_s10x10_c39_abio_SAT.cnf.xz,20.85,20.33,3.10,12.57,memout,4.14,32.49
02404a08ea36dd43362bbddc578c839d,ctl_4201_555_unsat.cnf.xz,497.67,51.38,29.52,1111.41,176.73,172.72,memout
0240f5bddc39ad2f0a786c811fc434a8,SC21_Timetable_C_542_E_71_Cl_36_S_35.cnf.xz,388.38,58.58,memout,169.99,252.61,238.90,189.43
03a43a7ea55217f53542ed3f029963af,satch2ways16w.cnf.xz,timeout,18.34,684.89,timeout,timeout,timeout,memout
03ba29d5cb38d345357a74a7b5ccd759,20-100-lambda100-49_sat.cnf.xz,129.98,41.36,38.24,78.05,121.85,112.66,117.05
05e5b5a37a0d7cb5e96c82b84bbdca66,Mycielski-11-hints-3.cnf.xz,280.06,35.76,56.96,326.01,472.80,439.93,437.17
064ba3c61c5f105104edec8305853711,puzzle35_sat.cnf.xz,472.81,87.82,48.56,232.58,1231.22,timeout,memout
068c64314f0f8405bc28bb4c52647145,sokoban-p20.sas.cr.27.cnf.xz,824.80,88.25,94.37,memout,581.51,642.50,timeout
070fde310eca4ddf6967896052efcb30,at-least-two-smtlib-qfbv-aigs-ext_con_032_008_0256-tseitin.cnf.xz,41.10,325.59,8.31,21.47,15.86,memout,memout
07c3cce524e2b85d8315ac4397ef08c4,puzzle47_sat.cnf.xz,timeout,34.67,memout,timeout,timeout,timeout,memout
080896c437245ac25eb6d3ad6df12c4f,bv-term-small-rw_1492.smt2.cnf.xz,5.54,13.61,1.97,7.84,2.54,2.61,0.06
083030713683d8ab8e1d54372f241863,Kakuro-easy-089-ext.xml.hg_4.cnf.xz,memout,5.90,59.93,memout,280.96,memout,183.11
09d8544494e54bc756438e69567b4ba7,mp1-klieber2017s-0300-034-t12.cnf.xz,41.86,10.12,9.17,288.85,76.49,29.84,44.60
0c4355730d11bb18582d00f7266fdf27,puzzle34_unsat.cnf.xz,287.90,573.60,46.14,582.85,1037.62,1236.79,memout
0c75119940f87f2bc1dc3f53aeedc02b,20-100-lambda100-89_sat.cnf.xz,285.59,29.82,60.88,131.49,254.00,281.79,memout
0d4b99f6d05c9e993ea8655d355fa3b3,vlsat2_112_4223.cnf.xz,timeout,16.32,timeout,memout,3936.23,timeout,timeout
0f877a1f984f35fdfdce011cb7152123,bvurem_20.smt2.cnf.xz,timeout,2.10,memout,memout,timeout,timeout,memout
10b460a4da6a4e199e946788a374032b,HCP-470-60.cnf.xz,719.72,751.27,67.82,1279.98,timeout,timeout,memout
115fa7f61704bc12b2373aa471bc434f,Circuit_multiplier24.cnf.xz,291.07,106.41,27.16,43.50,138.38,242.38,memout
116bae11adddfa555f2e21f8ee678de5,randomG-n17-d05.cnf.xz,timeout,24.76,2.28,timeout,626.28,667.79,memout
128fdc03329b57efb97c3cdf6ed7e35d,10pipe_k.cnf.xz,342.28,1.50,memout,1032.88,249.18,289.98,335.44
1335cf5a529c51c86733b20450a41ac1,p01_lb_05.cnf.xz,96.37,32.75,11.14,33.24,25.77,34.64,23.62
13538df69c3bc26707750ba55d90c9b0,blocks-blocks-37-1.130-NOTKNOWN.cnf.xz,196.50,86.17,41.25,808.44,168.93,memout,806.75
135eb593af65aa579aede02fd289a6f9,Mycielski-10-hints-8.cnf.xz,3775.15,217.51,timeout,timeout,timeout,timeout,timeout
139c1262e5901a684005ffad897aa7eb,maximum_constrained_partition_18_bits_n200.cnf.xz,74.77,288.53,17.55,14.67,memout,30.62,36.71
140aa37221467a66d5711b760a19ee0f,ktf_TF-8.tf_4_0.02_37.cnf.xz,timeout,14.82,timeout,timeout,timeout,timeout,timeout
141919813972d24c105018164e96cb1e,edit_distance023_281.cnf.xz,451.20,13.72,68.59,236.63,208.26,273.16,memout
14c33d4be35ed33f2c67498f8334993f,sted5_0x24204-70.cnf.xz,timeout,18.57,timeout,memout,timeout,timeout,memout
1527378fc216e0506bf8b63d0fad56be,randomG-Mix-n18-d05.cnf.xz,timeout,timeout,295.77,timeout,timeout,timeout,timeout
1575dcf4547f5854850b971013683c37,edit_distance007_85.cnf.xz,395.78,1.31,43.77,memout,331.75,323.98,731.39
15ba9eb4b0035fb6ed11a03c7df21870,ktf_TF-6.tf_4_0.04_51.cnf.xz,memout,59.86,memout,memout,timeout,timeout,timeout
166e1e5a9f63fcf94ddae8533fa2a090,mp1-squ_any_s09x07_c27_abix_UNS.cnf.xz,197.26,2.28,26.31,664.59,80.52,78.06,954.54
167b736959aa8c9e5d38409755277a53,vlsat2_56_1042.cnf.xz,timeout,timeout,567.95,timeout,1547.05,timeout,memout
18d4124324b56e434118f9ef72198d84,spg_300_300.cnf.xz,160.93,172.33,36.29,52.18,101.96,72.81,65.57
198f94ece5fdc9536a28afc3063bdcf6,quad_res_r29_m32.cnf.xz,970.64,timeout,timeout,781.54,timeout,timeout,memout
1a3254cb7b54789fdd4d56bfaaa38df7,satch2ways18wu.cnf.xz,timeout,2.08,memout,timeout,timeout,timeout,timeout
1a3320d3cf32f211b3e7b875745713e2,sokoban-p20.sas.cr.21.cnf.xz,148.91,293.58,18.12,365.17,86.94,98.09,394.47
1a3400dc32a3859afb20566a4ded9606,ACG-15-10p1.cnf.xz,162.22,139.00,35.68,245.16,85.19,97.39,446.84
1b8c45c42a818db8f62bcbfd6f52c881,sp5-21-15-bin-stri-tree-noid.cnf.xz,29.31,1.89,9.79,26.02,34.22,14.09,56.93
1bb9929010e0c209f1e59dedba54d9ad,edit_distance023_282.cnf.xz,607.09,timeout,74.89,221.31,298.94,248.01,979.54
1c35c510ad106bfcdbc76ff49e710ce6,ER_500_40_2.apx_0.cnf.xz,147.09,40.61,7.10,163.32,memout,27.26,memout
1ce81dbba1292bf791e194b17aa2a219,satch2ways15u.cnf.xz,1113.65,15.74,129.42,timeout,806.91,1129.82,timeout
1d72814d7329f6d6213a7397ed366fe9,Circuit_multiplier37.cnf.xz,21.45,timeout,2.31,7.12,9.44,7.30,18.22
1dce69ee6685597d6c56e5fd7a47f8e0,SC21_Timetable_C_136_E_41_Cl_9_S_15.cnf.xz,timeout,timeout,timeout,timeout,timeout,timeout,timeout
21fbe69cf7c0b41e205b52d970f9a43a,string_compare_safety_cbmc_unwinding_870.cnf.xz,memout,2.58,192.30,timeout,memout,memout,memout
22505280326ec66ba807b8b4edc48e1a,Circuit_multiplier18.cnf.xz,697.13,46.36,39.96,869.14,474.36,206.28,timeout
2260d28ec773357e73e5ee60aeac0f43,b2005-p1-12x12c10h7-Ser3-0.cnf.xz,timeout,65.89,memout,memout,timeout,timeout,timeout
2285ff99f985f8f926d5159299cc8787,73.smt2.cnf.xz,220.10,timeout,30.18,237.58,140.11,141.58,328.60
22922a96c4bdac643b69069355c5db28,assoc_mult_err_3.c.cnf.xz,73.56,3.70,13.14,99.11,49.70,47.92,memout
22ede342b1973bf82c2c2106616cc8d9,at-least-two-aaai10-planning-ipc5-pipesworld-12-step15.cnf.xz,112.11,56.27,19.16,memout,75.42,memout,198.20
24075575c3dbd9e9eae948dd2241b029,UR-15-10p0.cnf.xz,206.26,1.94,34.35,237.87,113.31,121.09,396.37
25ba6d2b7503d699ee95bf4bcd0864c5,quad_res_r37_m39.cnf.xz,timeout,89.11,memout,timeout,timeout,timeout,memout
25cc054738293c0d9377d7b72b78a341,string_compare_safety_cbmc_unwinding_900.cnf.xz,memout,timeout,225.87,timeout,memout,memout,memout
25cfa39c61494e9e793f6c6a9ec44be3,puzzle51_unsat.cnf.xz,timeout,timeout,timeout,timeout,timeout,timeout,memout
263457bc6aafa3b1f5999bc2ddfe3caf,ktf_TF-4.tf_2_0.02_18.cnf.xz,97.66,timeout,11.90,51.86,35.99,38.44,48.54
273d42b3d97294b660745c7bc632474e,edit_distance025_450.cnf.xz,639.70,6.91,641.17,260.43,1364.42,timeout,240.86
28792301119a25fb8edec6cde91eee21,sokoban-sequential-p145-microban-sequential.070-NOTKNOWN.cnf.xz,429.22,5.89,98.21,271.92,731.34,1113.27,timeout
28aeefb8abe1d29211552650e14e7579,bv-term-small-rw_1294.smt2.cnf.xz,timeout,9.75,memout,timeout,timeout,timeout,memout
2925ee90763e08b2f7e79c7c713c86b9,at-least-two-ibm-2004-23-k100.cnf.xz,380.58,1.47,102.13,191.57,296.75,memout,264.32
29b7d5a498eff7a98fcd03a273eaeba3,Kakuro-easy-132-ext.xml.hg_8.cnf.xz,memout,59.58,memout,586.76,memout,memout,615.05
29e101b66dfddb440e974b9feec5b1aa,spg_200_307.cnf.xz,111.19,28.54,15.82,47.09,58.47,55.64,478.99
2a0b27b48cde394ba99cc0a0e3737fc6,mp1-Nb6T07.cnf.xz,465.96,57.62,38.19,timeout,611.60,469.33,memout
2a0f12ac393b2fb15f0dcc45c00e7434,sum_of_3_cubes_108_bits_52.cnf.xz,timeout,5.72,timeout,timeout,timeout,timeout,timeout
2a6f21741efb8f8abbfdfe30f22ba9f8,Mycielski-11-hints-4.cnf.xz,287.12,11.75,54.23,265.72,431.04,396.27,387.85
2ba50be551d72853ba662e11371b24c1,at-least-two-traffic_b_unsat.cnf.xz,85.58,37.46,21.34,255.15,86.69,memout,254.28
2dd2843e84e1c73b9a3fd45d4f13a2fa,ktf_TF-3.tf_2_0.02_24.cnf.xz,1180.07,8.11,185.64,memout,memout,990.73,memout
30c44e6084a893593d64d500551872cb,Circuit_multiplier34.cnf.xz,138.81,2.29,10.32,82.06,23.20,52.08,21.46
31311e688a1ec28c827c0878786e3c18,puzzle42_sat.cnf.xz,timeout,1.91,325.36,timeout,timeout,timeout,memout
314b63e5b44a2c441e10d197f797e18b,ak032modbtmodbtisc.cnf.xz,173.86,timeout,30.72,timeout,112.27,100.58,1419.75
316e22c7acf697be27514ffda0381ebc,2bitcomp_5.hg_20.cnf.xz,timeout,timeout,timeout,timeout,timeout,memout,timeout
31c4aacd83bfd2aa7a9762a5b463b992,MVD_ADS_S11_7_7.cnf.xz,9.00,15.28,2.11,770.16,timeout,timeout,0.94
31e9cd07f730b20faa7c3d0f1ba2ea2e,b04_s_unknown_pre.cnf.xz,127.01,673.95,23.74,80.39,39.96,42.67,16.20
324b2441c6f1fa9d5f3cf3a4c8447fc7,SC21_Timetable_C_512_E_66_Cl_34_S_35.cnf.xz,timeout,11.33,memout,timeout,timeout,timeout,timeout
32a7129c1bf7922f8cfa7748db5b5268,b2005-p3-14x14c17h9-Ser3-0.cnf.xz,memout,timeout,timeout,timeout,memout,memout,timeout
3334919f6e241ce87c5b91ed90fc0c1c,edit_distance031_284.cnf.xz,190.05,55.19,37.39,timeout,298.06,291.28,memout
334aa882de28856fc8c75885285d2a3c,HCP-446-105.cnf.xz,899.20,75.46,152.39,memout,timeout,timeout,memout
3354c5f91c523cfc42dab6a40129d102,size_5_5_5_i003_r12.cnf.xz,191.52,246.94,timeout,43.25,timeout,timeout,19.56
338bbefd31a527548666d5cee1aadaeb,rpoc_xits_10_UNKNOWN.cnf.xz,memout,timeout,memout,memout,memout,memout,memout
33e82a3b6df2b2b63291775c0133a32f,MVD_ADS_S1_5_5.cnf.xz,14.64,timeout,2.54,954.68,timeout,timeout,0.56
34c4f43536cffc580a87e655b4100332,79.smt2.cnf.xz,timeout,113.99,timeout,timeout,timeout,timeout,timeout
36503f7af8c8352b64ec2104cd2499c5,Circuit_multiplier45.cnf.xz,814.37,9.12,16.32,111.95,598.65,36.05,6.33
36c02f64976f4c45a9e6bfb361d08316,edit_distance031_283.cnf.xz,189.30,6.13,36.76,memout,292.00,275.83,memout
36ffefcf54eb9e407652175766f21d83,b2005-p2-14x14c17h9-Ser5-0.cnf.xz,memout,486.87,timeout,timeout,memout,memout,timeout
375b0bb96005020dea369b22f85ed8f5,shift1add.26949.cnf.xz,156.17,37.63,4.73,29.25,43.61,43.98,13.75
376fa5669a710c95b0b8d4c7a798f9f0,prime_a22_b22.cnf.xz,48.54,5.90,2.08,19.61,4.47,13.35,52.37
3859d592ef722f4f6e6a204a8f7fb30e,20-100-frag12-32_sat.cnf.xz,784.78,4.70,436.37,583.50,timeout,timeout,memout
3a81b9d45f7bdbe5fec702d1f1aa5c12,MVD_ADS_S3_5_5.cnf.xz,11.16,1.50,2.49,994.54,timeout,timeout,0.58
3aef3d8d02941ba7ddb18adc128259ae,php12e12.cnf.xz,timeout,59.57,102.41,timeout,489.29,456.28,memout
3b784f7f6fab6c024647a18855f6edaf,spg_300_301.cnf.xz,100.41,10.38,33.13,83.89,186.16,165.81,287.88
3bdc1cbc7fde3c8f1ca958dc82a75b72,puzzle39_sat.cnf.xz,timeout,18.58,382.43,memout,timeout,timeout,memout
3c15c8fb5153b9d758a9eb16c66adc5d,WS_500_16_70_10.apx_0.cnf.xz,56.89,timeout,2.10,42.12,188.21,60.83,memout
3cff772a004fbdf616a65ec099ec7bd5,b2005-p1-12x12c10h7-Ser4-0.cnf.xz,timeout,80.78,memout,timeout,timeout,timeout,timeout
3d8792b5f559f33ea583a09c33f683b1,puzzle34_sat.cnf.xz,339.07,210.56,49.38,199.73,297.79,1372.54,memout
3dbec93f8c175baca8de46833656c7bf,puzzle36_sat.cnf.xz,710.53,timeout,66.99,311.23,timeout,timeout,144.27
3dd4302478db90092c889a6db40ada5c,sum_of_3_cubes_42_bits_96.cnf.xz,146.40,2.12,7.56,209.02,256.42,167.04,47.00
3e40fa8f358f7cd6fa72f3826d2cc74d,quad_res_r28_m29.cnf.xz,timeout,139.22,memout,timeout,timeout,timeout,memout
3e484a82136768ef3f36517dfdb509d6,Mycielski-10-hints-5.cnf.xz,timeout,timeout,memout,timeout,timeout,timeout,memout
3f9fdded562e5b47d8b3dbcf4271a6ce,Mycielski-10-hints-7.cnf.xz,timeout,timeout,timeout,timeout,timeout,timeout,memout
4106867bc76b8794330a205cf8a303ad,bvsub_19952.smt2.cnf.xz,890.14,8.91,174.22,timeout,662.59,638.78,timeout
41d15591fed06eb2e4e2f9ace5de25e9,ktf_TF-4.tf_4_0.04_35.cnf.xz,849.62,34.29,136.62,memout,557.89,555.50,memout
430ba56a847b87445b66b9df28f14d05,20-100-lambda100-14_sat.cnf.xz,119.13,22.45,27.15,70.21,58.35,79.32,131.38
4513c58c16e72a34f9f8518db7baeb9e,ktf_TF-3.tf_3_0.02_24.cnf.xz,172.81,45.30,23.49,134.46,80.71,95.68,196.23
453e2197c9226f8c99b3a740c7711723,crafted_n12_d6_c3_num18.cnf.xz,471.05,27.37,22.60,321.93,349.56,409.84,258.58
462664d89a909e25001e8861f3310210,20-100-frag12-14_sat.cnf.xz,200.96,93.84,38.29,87.62,108.20,98.41,207.77
47752d6f7fca7e1caae7aa0d0138c067,pb_300_06_lb_02.cnf.xz,204.48,78.22,17.34,49.55,29.16,31.50,173.46
47daef729bd4001c2b485b68a4c2ccb7,mp1-Nb7T44.cnf.xz,54.41,218.88,61.80,78.23,timeout,timeout,6.53
4a6268945652964c9b86b7c15425c0fe,spg_330_400.cnf.xz,206.26,5.91,168.86,101.20,155.96,146.99,360.39
4a669e0b7acaad9901925292aa5aeccd,143.smt2.cnf.xz,timeout,timeout,timeout,memout,timeout,timeout,timeout
4a6a4f1f6c0d5adc639e823d1516ace5,at-least-two-traffic_f_unknown.cnf.xz,107.03,22.77,20.95,281.81,85.93,memout,442.71
4b65652b89a4cf69d9aaeba0aff08ffe,at-least-two-aaai10-planning-ipc5-pathways-17-step20.cnf.xz,162.91,101.68,36.32,memout,228.16,memout,300.41
4ba2c1aa580b6497df6baf5e7e2c87be,at-least-two-vmpc_28.cnf.xz,91.23,63.79,12.32,69.11,51.53,48.24,memout
4bed9fdbef6375a8c390006131d4e29c,sum_of_3_cubes_51_bits_80.cnf.xz,230.19,13.32,timeout,351.05,timeout,1368.88,193.44
4c6e57f5552d546278e192b6e332635a,SE_PR_WS_500_16_70_10.apx_0.cnf.xz,124.59,239.14,11.29,36.02,346.58,347.17,memout
4d4cdde9fb75604e036fa38b786e5e5c,b2005-p2-12x12c10h7-Ser7-0.cnf.xz,memout,7.92,timeout,memout,memout,memout,timeout
4ef35e8c7b387e8c2fff1f552a04e3a2,LABS_n068_goal001.cnf.xz,timeout,38.57,141.83,memout,1215.92,1179.60,1024.46
4fe36c662bbfba878bdc49f70bec1ead,vlsat2_44_545.cnf.xz,timeout,timeout,245.65,timeout,1916.50,timeout,memout
50468d740d0d9cd69c43e4122014d60e,sted6_0x1e3-97.cnf.xz,136.75,timeout,5.91,31.83,49.58,19.55,memout
50d081a4b18eecdd0bc120f634d57a26,randomG-n18-d05.cnf.xz,timeout,15.31,2.28,timeout,timeout,timeout,timeout
51925dbfcd5534b312265098fd439b12,bvsdiv_19.smt2.cnf.xz,924.52,705.86,64.45,timeout,412.76,417.01,1215.49
519ec7e2da48149991957836b84dda06,crafted_n11_d6_c4_num14.cnf.xz,593.69,11.54,36.27,596.14,673.47,memout,534.60
51d9e3f41c95dfe6e1b73a525b8784be,sted2_0x0-343.cnf.xz,339.22,189.43,20.32,34.97,347.46,34.13,179.00
52d591859e2047fa6c804d6424c55c74,satch2ways16.cnf.xz,timeout,10.11,746.52,timeout,timeout,timeout,memout
52d6e2f25ada36c0b802f544b084a140,20-100-lambda100-89_unsat.cnf.xz,261.55,113.47,48.18,301.31,262.00,292.31,memout
53c21f3e78f060883026b5a12ba691d8,maximum_constrained_partition_14_bits_n200.cnf.xz,10.86,1.69,4.10,9.74,10.73,12.11,23.33
54abc3873dfe2570d3f5b7d3b712fa85,14pipe_q0_k.cnf.xz,memout,21.26,140.99,timeout,1055.68,memout,895.65
557d7d4db5399188f62bc39598c6d868,mp1-Nb7T46.cnf.xz,52.98,2.09,15.52,34.09,timeout,timeout,7.14
5584cc467c09d0cab489238275c2b92e,sp5-21-15-one-stri-tree-noid.cnf.xz,15.60,9.13,2.29,13.31,4.00,6.33,137.10
5593b61a1be6e0598236534041e71e74,spg_420_350.cnf.xz,125.85,12.73,49.49,79.48,81.68,81.37,764.61
564a68fffd2affabc1586d24a07b6c16,Mycielski-11-hints-2.cnf.xz,281.58,41.81,79.67,311.21,502.84,483.85,393.32
5696ebc151f271257ba3a98782667932,string_compare_safety_cbmc_unwinding_780.cnf.xz,memout,35.36,182.11,timeout,memout,memout,memout
57ed70b2b94469babf71c5ee4290800e,edit_distance025_448.cnf.xz,647.76,timeout,272.34,211.78,timeout,timeout,memout
587ac25d93492c61eebb72cb258ba173,mp1-blockpuzzle_5x10_s5_free3.cnf.xz,144.15,16.11,8.55,82.53,39.17,memout,memout
58c58e6d9e00166bbeb845cd8d1f7ea8,b2005-p4-14x14c17h9-Ser8-0.cnf.xz,memout,timeout,memout,timeout,memout,memout,memout
594129eb92220cd847e7073b03840458,9dlx_vliw_at_b_iq5.cnf.xz,424.63,35.52,40.45,806.47,250.83,341.22,224.78
5952b9f18b73dabb531c60e3ac85d26f,ctl_4291_567_9_unsat.cnf.xz,349.00,43.47,17.13,767.03,129.73,126.85,663.99
59753830b55e81ed5e8a59609fdd4305,b2005-p5-12x12c10h7-Ser5-0.cnf.xz,timeout,114.48,timeout,timeout,timeout,timeout,memout
5a7042323ef6e8a5c06845289e668def,sted1_0x0-637.cnf.xz,447.78,258.38,58.79,213.95,480.85,449.77,memout
5a9ce84a8725164c40c90d2eb420bad9,sted5_0x0_n90-157.cnf.xz,103.30,2.27,53.46,84.83,69.11,28.84,memout
5b4b384351127c913bd3941bc63f790f,quad_res_r35_m36.cnf.xz,timeout,56.60,timeout,memout,timeout,timeout,memout
5bc585c5aaba7f9f8faae4cfd1e6b5e8,sted4_0x0_n159-185.cnf.xz,317.76,21.38,44.78,95.87,338.86,290.91,memout
5c34b6844ed6a3fc57dccfc414af2851,SC21_Timetable_C_136_E_36_Cl_9_S_15.cnf.xz,timeout,24.39,timeout,timeout,timeout,timeout,timeout
5cd4201889cc2a8764ee86def29d8ffa,UCG-20-10p1-sc2009.cnf.xz,227.32,1.68,48.07,721.21,125.73,222.50,487.33
5e933a625099cc1ec6a8299a7848a2ae,Kakuro-easy-112-ext.xml.hg_7.cnf.xz,memout,79.85,51.68,291.75,memout,memout,218.57
5ea9d54e4eb8eeab1ff058471b9c83ca,sp4-33-one-nons-flat-noid.cnf.xz,5.90,11.60,2.48,1.21,2.54,3.17,26.45
5ee05ef0bcb42cb12bd698978c05178c,mp1-bsat201-707.cnf.xz,memout,1.51,11.93,363.93,169.20,119.87,1156.26
