hash,filename,cadical_hack_gb,CaDiCaL_PriPro,CaDiCaL_PriPro_no_bin,CaDiCaL_rp,CaDiCaL_sc2021,Cadical_SCAVEL01,Cadical_SCAVEL02,CaDiCaL_Stability_HC,cadical_watch_sat,CleanMaple,CleanMaple_PriPro,cms_expV_gbL,hCaD,hCaD_psids,hKis,hKis_psids,hKis_unsat,kissat_bonus,kissat_cf,kissat_crvr_gb,kissat_gb,Kissat_MAB,Kissat_sc2021_default,Kissat_sc2021_sat,Kissat_sc2021_sweep,lstech_maple,Maple_MBDR_BJL6_Tier2,Maple_MBDR_BJL7_Local,Maple_MBDR_Cent_PERM_10K,Maple_MBDR_Cent_PERM_75K,Maple_simp21,MapleSSV,optsat_m21,optsat_R21,ParaFROST,ParaFROST_NoMDM,Relaxed_LCFTP,Relaxed_LCFTP_V2,Relaxed_LCFTP_V3,Relaxed_LCMDCBDL_BLB,Relaxed_LCMDCBDL_SCAVEL01,Relaxed_LCMDCBDL_SCAVEL02,SLIME_hess_no_rnd,SLIME_hess_rnd,SLIME_no_hess_no_rnd,SLIME_no_hess_rnd
01813075a2ddb68ae1fc655ca003437e,sha256__zeroOut_12__freeIn_16__seed_1.cnf.xz,2475.77,1625.91,1633.65,2528.15,2207.69,2233.19,3539.16,2504.04,2129.73,timeout,timeout,2016.59,timeout,2179.44,timeout,timeout,timeout,2786.22,timeout,timeout,timeout,timeout,timeout,timeout,timeout,792.21,1018.26,505.449,817.699,823.975,801.557,775.329,698.253,1498.31,3300.85,2657.15,909.235,564.876,871.172,1302.14,694.707,664.433,696.295,662.513,823.142,697.971
036b541db9d0839b0591d408ff4f77ae,aes_decry_2_rounds.debugged.cnf.xz,180.952,163.628,163.254,159.345,163.425,161.68,165.623,186.23,186.129,4327.56,timeout,248.05,2380.26,198.382,463.83,189.908,154.715,115.036,610.987,568.986,449.987,151.965,174.23,349.998,174.457,567.604,unverified,unverified,469.383,472.109,241.554,455.409,197.106,261.759,117.247,118.12,491.363,449.958,524.348,631.163,553.838,288.633,561.201,596.89,556.775,479.567
05650550f21d60a3989cae43fb5ebd93,ssAES_4-4-8_round_8-10_faultAt_8_fault_injections_2_seed_388173632.cnf.xz,2567.33,timeout,timeout,3254.7,timeout,3774.37,3558.92,timeout,4148.68,timeout,timeout,timeout,4452.73,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,2919.18,2907.39,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,3339.71,timeout
05ff725eef6dbf5b1bff07bedd89d6c0,slp-synthesis-aes-bottom32.cnf.xz,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout
060ad8240dd120ae1017c31c17fa88e9,sha1__zeroOut_06__freeIn_10__seed_2.cnf.xz,136.027,186.921,182.153,45.4754,21.2526,174.679,110.737,156.3,149.2,730.147,644.789,92.0515,88.2677,70.2424,31.143,123.999,140.901,154.475,113.763,215.322,368.846,87.2487,11.844,57.8038,133.271,117.246,71.3069,189.501,33.2647,33.2835,103.083,105.286,68.8636,90.8721,107.365,68.1195,128.796,112.059,61.139,80.0216,156.779,130.572,106.374,86.9646,108.458,15.4111
0616ca6b1e0ae639d12e19ed310963a9,satcoin-genesis-SAT-4.cnf.xz,1.22274,1.39852,1.40402,1.21708,1.23559,1.12389,1.21763,1.23705,1.2692,21.2787,68.8659,17.2492,1.18943,1.36603,145.831,37.6239,4.1373,30.468,66.7787,92.719,81.6809,25.4798,23.0007,20.0583,21.5676,5.35143,4.67899,4.67794,4.80131,4.79253,timeout,2602.2,99.9378,2152.48,2.14416,7.0143,4.69384,4.71401,4.71335,4.64998,4.71109,4.68797,6.66099,17.2999,6.71717,17.3548
08530caa5c9232f2ffc5163cf79b38e7,satcoin-genesis-SAT-64.cnf.xz,8.50322,9.85139,9.82974,7.19429,6.56378,7.50466,8.09587,7.40882,8.04902,timeout,timeout,1584.77,7.91443,2.45235,timeout,timeout,timeout,timeout,1871.59,timeout,timeout,timeout,timeout,timeout,timeout,6.79082,75.5592,89.7721,22.6687,22.767,timeout,2561.44,1163.3,2123.84,3.83674,73.787,18.4433,17.9279,17.2709,20.0907,47.2518,19.8418,29.9279,16.4114,29.9565,22.4781
0c1229dd6d69a3435089228613a4586a,combined-crypto1-wff-seed-134-wffvars-500-cryptocplx-31-overlap-2.cnf.xz,2815.7,203.473,201.729,2183.23,84.9086,4567.32,686.828,2968.01,3152.5,timeout,timeout,19.7772,timeout,timeout,128.103,894.576,42.8549,440.507,232.449,82.1795,242.363,225.186,timeout,157.284,653.153,0.885843,117.716,119.451,102.668,103.104,timeout,timeout,1486.2,2592.96,54.4938,1.39072,123.459,92.7123,116.732,237.072,7.17098,826.72,88.2491,91.5966,51.7581,87.9238
0d2bcd9d503431148295cd116b446609,slp-synthesis-aes-bottom35.cnf.xz,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout
0ec6278d8757199a58df37ec3de4d6b8,ssAES_4-4-8_round_8-10_faultAt_8_fault_injections_2_seed_1588239689.cnf.xz,timeout,timeout,timeout,4015.34,3666.01,timeout,3577.76,3178.48,timeout,timeout,timeout,timeout,4051.06,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,4933.22,timeout,timeout,timeout,timeout,3610.65,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,4814.33,3025.15,timeout,timeout,timeout
