hash,filename,cadical_hack_gb,CaDiCaL_PriPro,CaDiCaL_PriPro_no_bin,CaDiCaL_PriPro_no_bin_no_proof,CaDiCaL_PriPro_no_proof,CaDiCaL_rp,CaDiCaL_sc2021,Cadical_SCAVEL01,Cadical_SCAVEL02,CaDiCaL_Stability_HC,cadical_watch_sat,clasp_336_HC_no_proof,clasp_336_HC_no_proof_crafty,clasp_336_HC_no_proof_frumpy,clasp_336_HC_no_proof_handy,clasp_336_HC_no_proof_jumpy,clasp_336_HC_no_proof_many,clasp_336_HC_no_proof_trendy,clasp_336_HC_no_proof_tweety,CleanMaple,CleanMaple_no_proof,CleanMaple_PriPro,CleanMaple_PriPro_no_proof,cms_expV_gbL,hCaD,hCaD_psids,hKis,hKis_psids,hKis_unsat,kissat_bonus,kissat_cf,kissat_crvr_gb,kissat_gb,Kissat_MAB,Kissat_sc2021_default,Kissat_sc2021_sat,Kissat_sc2021_sweep,lstech_maple,Maple_MBDR_BJL6_Tier2,Maple_MBDR_BJL7_Local,Maple_MBDR_Cent_PERM_10K,Maple_MBDR_Cent_PERM_75K,Maple_simp21,MapleSSV,MergeSat,MergeSat_nosimp,MergeSat_unsat,optsat_m21,optsat_R21,ParaFROST,ParaFROST_NoMDM,Relaxed_LCFTP,Relaxed_LCFTP_V2,Relaxed_LCFTP_V3,Relaxed_LCMDCBDL_BLB,Relaxed_LCMDCBDL_SCAVEL01,Relaxed_LCMDCBDL_SCAVEL02,SLIME_hess_no_rnd,SLIME_hess_rnd,SLIME_no_hess_no_rnd,SLIME_no_hess_rnd
004b0f451f7d96f6a572e9e76360f51a,spg_420_280.cnf.xz,261.479,673.59,669.43,669.152,667.963,974.224,111.52,409.269,201.86,timeout,117.134,timeout,3155.02,330.59,timeout,3264.96,timeout,timeout,2572.28,1465.81,1458.41,381.673,383.557,351.158,3515.7,176.107,49.1348,34.7148,72.7616,36.8638,58.0243,104.11,101.79,71.2514,45.4917,63.1783,779.48,284.395,41.2002,45.6013,124.934,128.103,83.7475,3202.46,failed,failed,failed,85.7536,84.929,60.1184,65.2738,53.7325,404.901,349.051,1206.83,113.43,188.559,271.419,542.564,267.065,73.4425
0107f34364dfff8ab062193b2c71b4de,sp4-33-bin-nons-flat-noid.cnf.xz,sp4-33-bin-stri-flat-noid.cnf.xz,235.703,242.106,248.067,241.672,240.531,248.634,93.7477,272.363,358.375,234.599,256.933,31.9323,22.4881,19.3807,29.8592,31.3651,31.4246,31.7901,41.3559,1536.32,1531.46,3384.66,3374.85,112.176,316.255,219.435,154.311,153.795,149.684,168.142,143.877,167.648,161.812,152.535,72.4191,71.4297,73.05,185.612,273.828,323.613,201.418,197.745,169.868,177.132,262.974,267.544,350.796,169.285,153.235,172.471,129.31,362.165,1180,402.262,178.384,201.665,811.956,293.24,233.128,203.818,179.981
01135f7a79d555bd0406f00fac22cbe2,SC21_Timetable_C_140_E_29_Cl_10_S_15.cnf.xz,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,failed,failed,failed,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout
0240f5bddc39ad2f0a786c811fc434a8,SC21_Timetable_C_542_E_71_Cl_36_S_35.cnf.xz,1133.48,150.796,150.591,148.951,148.975,849.049,251.721,287.153,406.97,927.472,770.774,60.6294,20.0669,109.73,39.3994,43.2927,60.8552,60.6049,21.8319,672.928,658.265,884.057,875.313,246.163,217.207,timeout,328.931,timeout,timeout,timeout,370.349,324.733,360.947,600.89,422.914,220.281,437.098,216.098,910.263,534.51,672.523,667.366,136.197,164.406,failed,failed,failed,134.612,158.464,321.941,142.318,306.435,173.237,141.784,103.092,693.551,981.206,415.364,403.087,1932.69,900.401
03a43a7ea55217f53542ed3f029963af,satch2ways16w.cnf.xz,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,2292.66,2026.3,2335.1,timeout,timeout,timeout,timeout,timeout,timeout,timeout,failed,failed,failed,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout
03ba29d5cb38d345357a74a7b5ccd759,20-100-lambda100-49_sat.cnf.xz,67.9505,102.535,110.262,109.486,100.812,70.5581,81.93,101.263,115.889,72.2509,73.5764,1791.36,429.596,timeout,451.853,2750.66,1795.28,1784.29,942.705,974.215,963.564,timeout,timeout,207.671,177.231,234.302,116.922,237.166,117.528,208.609,122.01,86.5267,59.1107,85.0098,109.92,209.839,112.085,78.565,184.046,218.671,187.96,187.419,124.505,520.729,failed,failed,failed,233.71,137.744,306.555,94.3009,212.095,168.178,347.563,286.32,190.345,180.88,290.413,201.68,261.723,234.425
05e5b5a37a0d7cb5e96c82b84bbdca66,Mycielski-11-hints-3.cnf.xz,1307.3,1124.18,1095.99,1077.52,1075.49,1287.22,773.737,1165.59,2098.31,1496.69,1302.27,2202.11,1377.81,922.217,1324.92,4018.77,1889.84,1894.15,timeout,1716.42,1711.28,timeout,timeout,460.266,1518.56,1075.17,461.841,425.676,422.439,415.855,553.19,542.129,523.692,350.5,850.098,1154.18,802.396,248.996,345.11,328.192,293.241,297.167,310.111,246.444,116.934,118.137,117.895,294.953,310.846,609.307,759.956,351.309,427.265,316.251,309.775,353.676,322.972,344.569,343.759,400.292,357.613
064ba3c61c5f105104edec8305853711,puzzle35_sat.cnf.xz,timeout,968.706,958.663,934.587,939.674,timeout,1161.63,timeout,timeout,timeout,1423.98,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,170.78,1263.26,timeout,1652.05,1577.62,timeout,472.484,timeout,1947.67,1677.89,timeout,401.257,timeout,2226.81,2905.55,timeout,timeout,timeout,3802.35,timeout,failed,failed,failed,timeout,timeout,timeout,1656.13,timeout,timeout,timeout,timeout,timeout,timeout,3449.36,timeout,timeout,2709.62
070fde310eca4ddf6967896052efcb30,at-least-two-smtlib-qfbv-aigs-ext_con_032_008_0256-tseitin.cnf.xz,973.437,523.405,522.881,520.81,519.93,726.549,2372.85,680.859,797.263,698.253,1653.83,364.036,timeout,2457.36,390.906,timeout,363.688,354.883,1335.4,201.327,200.489,166.495,166.063,0.923028,1447.2,492.645,1144.33,1459.14,161.745,9.53049,331.208,633.555,timeout,44.3798,408.9,222.235,416.438,9.86999,47.1538,47.2702,47.8946,48.04,7.47555,40.1743,failed,failed,failed,9.91194,11.267,74.5641,1958.02,48.2044,47.637,47.1407,48.4838,53.1094,49.8417,46.7032,19.6983,46.9511,19.5595
07c3cce524e2b85d8315ac4397ef08c4,puzzle47_sat.cnf.xz,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,failed,failed,failed,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout
