hash,result,filename,cadical_hack_gb,CaDiCaL_PriPro,CaDiCaL_PriPro_no_bin,CaDiCaL_rp,CaDiCaL_sc2021,Cadical_SCAVEL01,Cadical_SCAVEL02,CaDiCaL_Stability_HC,cadical_watch_sat,CleanMaple,CleanMaple_PriPro,cms_expV_gbL,hCaD,hCaD_psids,hKis,hKis_psids,hKis_unsat,kissat_bonus,kissat_cf,kissat_crvr_gb,kissat_gb,Kissat_MAB,Kissat_sc2021_default,Kissat_sc2021_sat,Kissat_sc2021_sweep,lstech_maple,Maple_MBDR_BJL6_Tier2,Maple_MBDR_BJL7_Local,Maple_MBDR_Cent_PERM_10K,Maple_MBDR_Cent_PERM_75K,Maple_simp21,MapleSSV,optsat_m21,optsat_R21,ParaFROST,ParaFROST_NoMDM,Relaxed_LCFTP,Relaxed_LCFTP_V2,Relaxed_LCFTP_V3,Relaxed_LCMDCBDL_BLB,Relaxed_LCMDCBDL_SCAVEL01,Relaxed_LCMDCBDL_SCAVEL02,SLIME_hess_no_rnd,SLIME_hess_rnd,SLIME_no_hess_no_rnd,SLIME_no_hess_rnd
000a41cdca43be89ed62ea3abf2d0b64,sat,snw_13_9_pre.cnf.xz,22.4347,9.00577,9.0832,107.783,95.9904,104.243,50.2382,99.731,34.0304,376.825,222.775,8.12578,33.6688,102.401,40.8015,17.8779,19.5859,235.478,55.8191,32.8341,37.2369,35.8237,20.6635,50.7361,21.1697,14.2511,40.3433,34.9266,54.7542,54.6905,16.6443,42.7966,37.9729,36.5867,121.262,8.14135,77.7845,38.8435,37.9573,38.1706,38.9252,106.709,86.8715,105.986,89.2207,40.4322
0041051c73dcdd885d412a38e8b09fba,unsat,rphp4_065_shuffled.cnf.xz,1488,1016,1022.77,971.375,201.636,615.676,413.099,1066.01,894.631,timeout,timeout,2125.28,1584.26,607.34,1146.51,731.794,639.242,370.415,1156.82,1044.24,1129.59,617.908,284.86,450.019,286.228,timeout,timeout,timeout,timeout,timeout,timeout,1193.73,timeout,timeout,879.623,817.847,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout
004b0f451f7d96f6a572e9e76360f51a,unsat,spg_420_280.cnf.xz,261.479,673.59,669.43,974.224,111.52,409.269,201.86,timeout,117.134,1465.81,381.673,351.158,3515.7,176.107,49.1348,34.7148,72.7616,36.8638,58.0243,104.11,101.79,71.2514,45.4917,63.1783,779.48,284.395,unverified,unverified,124.934,128.103,83.7475,3202.46,85.7536,84.929,60.1184,65.2738,53.7325,404.901,349.051,1206.83,113.43,188.559,271.419,542.564,267.065,73.4425
0107f34364dfff8ab062193b2c71b4de,unsat,sp4-33-bin-nons-flat-noid.cnf.xz,235.703,242.106,248.067,248.634,93.7477,272.363,358.375,234.599,256.933,1536.32,3384.66,112.176,316.255,219.435,154.311,153.795,149.684,168.142,143.877,167.648,161.812,152.535,72.4191,71.4297,73.05,185.612,unverified,unverified,201.418,197.745,169.868,177.132,169.285,153.235,172.471,129.31,362.165,1180,402.262,178.384,201.665,811.956,293.24,233.128,203.818,179.981
01135f7a79d555bd0406f00fac22cbe2,sat,SC21_Timetable_C_140_E_29_Cl_10_S_15.cnf.xz,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout
02223564bd2f5c20768e63cf28c785e3,sat,mp1-squ_ali_s10x10_c39_abio_SAT.cnf.xz,56.782,198.787,199.885,76.643,732.333,2408.46,561.127,1.74624,409.644,timeout,3973.93,13.7523,14.731,330.121,220.57,340.032,24.0582,128.133,68.9695,11.892,62.6336,12.8845,410.043,264.155,408.19,29.478,0.085782,0.085481,0.738548,0.740691,346.773,1294.88,356.874,211.708,127.516,20.0629,0.085558,0.08592,0.084754,0.085591,0.084709,320.436,198.321,83.5246,93.8337,110.856
02404a08ea36dd43362bbddc578c839d,unsat,ctl_4201_555_unsat.cnf.xz,1710.46,765.83,821.057,1610.02,1520.28,1680.65,1571.67,1825.37,1909.12,timeout,timeout,1521.52,1987.17,2065.4,1569.21,1958.94,1261.6,1155.35,1831.09,1696.83,1477.33,1816.97,1214.11,1388.4,1242.82,1405.33,unverified,unverified,1205.17,1207.1,1710.72,983.566,1265.92,1704.59,1412.46,1374.09,1221.66,1404.08,1512.15,904.657,1220.18,1352.68,1188.97,1334.59,1249.94,1494.43
0240f5bddc39ad2f0a786c811fc434a8,sat,SC21_Timetable_C_542_E_71_Cl_36_S_35.cnf.xz,1133.48,150.796,150.591,849.049,251.721,287.153,406.97,927.472,770.774,672.928,884.057,246.163,217.207,timeout,328.931,timeout,timeout,timeout,370.349,324.733,360.947,600.89,422.914,220.281,437.098,216.098,910.263,534.51,672.523,667.366,136.197,164.406,134.612,158.464,321.941,142.318,306.435,173.237,141.784,103.092,693.551,981.206,415.364,403.087,1932.69,900.401
03a43a7ea55217f53542ed3f029963af,unsat,satch2ways16w.cnf.xz,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,2292.66,2026.3,2335.1,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout
03ba29d5cb38d345357a74a7b5ccd759,sat,20-100-lambda100-49_sat.cnf.xz,67.9505,102.535,110.262,70.5581,81.93,101.263,115.889,72.2509,73.5764,974.215,timeout,207.671,177.231,234.302,116.922,237.166,117.528,208.609,122.01,86.5267,59.1107,85.0098,109.92,209.839,112.085,78.565,184.046,218.671,187.96,187.419,124.505,520.729,233.71,137.744,306.555,94.3009,212.095,168.178,347.563,286.32,190.345,180.88,290.413,201.68,261.723,234.425
