hash,result,filename,painlessmaple,pakis,mallobparallel,pmcomsps,pmcomspscom,abcdparascavel,pmcomspsstrsc,mergehordesatparallel,plingeling
000a41cdca43be89ed62ea3abf2d0b64,sat,snw_13_9_pre.cnf.xz,38.44,8.70,11.12,10.59,8.66,memout,7.52,45.80,18.48
0041051c73dcdd885d412a38e8b09fba,unsat,rphp4_065_shuffled.cnf.xz,74.09,296.09,39.72,58.17,58.17,148.80,58.85,1096.28,823.75
004b0f451f7d96f6a572e9e76360f51a,unsat,spg_420_280.cnf.xz,71.75,33.13,95.67,117.21,127.98,424.56,128.19,99.15,1271.05
0107f34364dfff8ab062193b2c71b4de,unsat,sp4-33-bin-nons-flat-noid.cnf.xz,72.09,116.03,14.46,28.15,33.15,84.26,33.47,115.08,38.06
01135f7a79d555bd0406f00fac22cbe2,sat,SC21_Timetable_C_140_E_29_Cl_10_S_15.cnf.xz,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout
02223564bd2f5c20768e63cf28c785e3,sat,mp1-squ_ali_s10x10_c39_abio_SAT.cnf.xz,10.05,10.02,7.48,9.14,10.14,memout,8.16,17.68,95.39
02404a08ea36dd43362bbddc578c839d,unsat,ctl_4201_555_unsat.cnf.xz,440.53,1089.32,106.98,92.62,90.63,286.66,85.63,348.04,323.53
0240f5bddc39ad2f0a786c811fc434a8,sat,SC21_Timetable_C_542_E_71_Cl_36_S_35.cnf.xz,181.78,247.71,timeout,126.35,146.86,memout,160.61,231.98,timeout
03a43a7ea55217f53542ed3f029963af,unsat,satch2ways16w.cnf.xz,timeout,3100.39,4377.82,2389.69,5542.98,4389.98,942.50,timeout,5172.65
03ba29d5cb38d345357a74a7b5ccd759,sat,20-100-lambda100-49_sat.cnf.xz,4.43,49.22,102.37,49.76,27.80,memout,30.89,65.83,199.57
05e5b5a37a0d7cb5e96c82b84bbdca66,unsat,Mycielski-11-hints-3.cnf.xz,311.12,392.83,342.58,233.58,209.31,266.65,262.53,145.02,441.94
064ba3c61c5f105104edec8305853711,sat,puzzle35_sat.cnf.xz,1474.51,118.12,255.21,3062.08,4799.51,timeout,timeout,201.16,261.12
